date,craftbeer,budweiser,millerlite,corona
2011-10-09,2,11,3,13
2011-10-16,2,10,3,12
2011-10-23,2,12,3,12
2011-10-30,2,11,3,11
2011-11-06,2,11,2,11
2011-11-13,2,11,3,12
2011-11-20,2,11,2,12
2011-11-27,2,11,2,13
2011-12-04,2,11,2,13
2011-12-11,2,11,2,13
2011-12-18,2,12,2,13
2011-12-25,2,15,2,14
2012-01-01,2,11,2,13
2012-01-08,2,11,2,12
2012-01-15,2,11,2,15
2012-01-22,2,12,3,13
2012-01-29,2,16,2,13
2012-02-05,2,28,2,12
2012-02-12,2,13,2,12
2012-02-19,3,13,2,12
2012-02-26,3,12,2,14
2012-03-04,3,12,2,13
2012-03-11,3,12,2,13
2012-03-18,2,12,3,13
2012-03-25,2,12,2,13
2012-04-01,3,13,2,13
2012-04-08,3,13,2,13
2012-04-15,3,14,3,14
2012-04-22,3,14,3,18
2012-04-29,3,18,4,21
2012-05-06,4,17,3,18
2012-05-13,5,17,3,18
2012-05-20,4,18,4,19
2012-05-27,3,16,3,20
2012-06-03,3,15,3,15
2012-06-10,3,14,3,16
2012-06-17,3,15,3,15
2012-06-24,3,15,3,18
2012-07-01,3,15,3,18
2012-07-08,3,14,3,16
2012-07-15,3,14,3,15
2012-07-22,3,14,3,16
2012-07-29,3,14,3,16
2012-08-05,3,14,3,15
2012-08-12,4,14,2,14
2012-08-19,3,14,3,14
2012-08-26,3,12,2,14
2012-09-02,3,13,3,13
2012-09-09,3,13,3,12
2012-09-16,3,12,2,12
2012-09-23,3,11,2,12
2012-09-30,3,11,2,12
2012-10-07,3,10,2,12
2012-10-14,3,11,2,12
2012-10-21,3,11,2,12
2012-10-28,3,11,2,11
2012-11-04,3,11,2,11
2012-11-11,3,11,2,11
2012-11-18,3,10,2,11
2012-11-25,3,11,2,12
2012-12-02,3,11,2,12
2012-12-09,3,11,2,12
2012-12-16,3,10,2,12
2012-12-23,3,12,2,11
2012-12-30,3,11,2,12
2013-01-06,3,12,2,10
2013-01-13,3,11,2,15
2013-01-20,3,16,2,38
2013-01-27,3,22,2,16
2013-02-03,3,83,2,13
2013-02-10,3,22,2,12
2013-02-17,4,19,2,12
2013-02-24,4,21,2,12
2013-03-03,4,16,2,12
2013-03-10,4,15,2,11
2013-03-17,4,14,3,12
2013-03-24,4,13,3,11
2013-03-31,4,13,2,12
2013-04-07,5,14,2,13
2013-04-14,4,16,2,12
2013-04-21,5,14,2,13
2013-04-28,5,15,2,15
2013-05-05,5,15,3,15
2013-05-12,7,14,2,17
2013-05-19,5,13,2,17
2013-05-26,5,14,3,19
2013-06-02,5,14,3,18
2013-06-09,5,14,3,20
2013-06-16,6,14,3,19
2013-06-23,4,13,3,16
2013-06-30,4,14,3,16
2013-07-07,4,14,3,15
2013-07-14,4,13,3,14
2013-07-21,4,13,2,15
2013-07-28,5,14,3,14
2013-08-04,5,13,3,14
2013-08-11,6,13,3,13
2013-08-18,5,13,3,14
2013-08-25,4,12,3,15
2013-09-01,5,13,3,13
2013-09-08,5,15,3,13
2013-09-15,5,12,2,11
2013-09-22,5,12,2,11
2013-09-29,4,12,2,11
2013-10-06,5,12,2,11
2013-10-13,5,13,2,11
2013-10-20,5,12,2,11
2013-10-27,5,14,2,11
2013-11-03,5,11,2,11
2013-11-10,5,11,2,11
2013-11-17,5,11,2,11
2013-11-24,5,11,2,13
2013-12-01,5,11,2,13
2013-12-08,5,11,2,12
2013-12-15,6,11,2,12
2013-12-22,5,13,3,12
2013-12-29,5,12,4,11
2014-01-05,5,11,3,11
2014-01-12,6,12,3,10
2014-01-19,5,12,3,11
2014-01-26,6,80,3,11
2014-02-02,6,100,3,11
2014-02-09,6,18,2,12
